Category,Deadline,Goal,Pledged,Status,Backers
Technology,2013-06-23 06:26:40,100000,25,canceled,1
Gadgets,2013-03-09 20:18:50,8000,51536.75,successful,303
Technology,2013-08-27 09:15:50,84500,1845,failed,7
Hardware,2012-11-22 04:00:00,20000,35638.2,successful,191
Flight,2014-01-04 02:24:25,1000,1054.5,successful,31
Technology,2015-09-01 01:00:25,15000,36146,canceled,634
Technology,2015-07-25 03:40:59,50000,6306,failed,16
Gadgets,2016-07-05 05:59:00,12000,100,failed,2
Web,2015-03-20 01:39:32,25000,1,failed,1
Makerspaces,2016-04-01 05:59:00,300000,4263,failed,36
Technology,2015-04-19 02:08:09,10000,0,failed,0
Apps,2016-07-09 04:39:18,25000,330,failed,8
Sound,2016-01-16 22:42:57,2500,202,failed,5
Software,2015-10-29 14:38:05,20000,20703,successful,252
Technology,2015-04-04 19:40:14,2700,320,failed,6
Software,2011-08-29 02:35:25,1500,61,failed,5
Apps,2014-11-25 09:55:00,6000,231,failed,10
Apps,2015-09-25 01:48:34,3000,120,failed,7
Sound,2016-03-22 17:47:49,19000,694,failed,8
Web,2016-11-19 17:24:27,20000,1,failed,1
Technology,2011-11-28 14:07:35,50000,14325,failed,105
3D Printing,2015-05-16 19:36:39,8760,0,failed,0
Technology,2014-06-01 01:30:00,100000,0,failed,0
Software,2016-04-16 18:19:20,750,120,failed,6
Web,2016-08-04 19:21:06,60000,10,failed,2
Software,2015-05-03 23:47:16,10000,1,failed,1
Technology,2013-06-01 19:57:57,30000,9157,failed,125
Software,2015-10-22 20:06:16,100000,25021,failed,18
Makerspaces,2015-06-14 19:06:39,60000,0,canceled,0
Fabrication Tools,2016-07-10 20:01:18,5000,14,failed,4
Robots,2015-02-03 22:24:01,45000,1859,failed,17
Web,2016-03-31 00:45:35,3000,1,failed,1
Web,2015-05-08 18:57:12,50000,60,failed,2
DIY Electronics,2014-06-10 06:00:00,10000,82207,successful,423
Technology,2015-02-08 09:30:54,380000,2,failed,2
Hardware,2013-08-12 22:16:22,500,6576,successful,238
Technology,2015-06-02 02:42:00,60000,0,failed,0
Software,2014-09-06 16:00:56,9000,2,failed,2
Apps,2015-10-01 17:30:12,5000,0,failed,0
Hardware,2013-01-28 04:20:05,2500,1420,failed,41
3D Printing,2016-12-04 06:34:50,30000,1595,canceled,11
Apps,2014-10-10 00:36:52,9540,0,failed,0
Hardware,2016-01-05 06:00:00,100000,1588,canceled,26
Hardware,2015-03-01 18:09:12,150000,275,canceled,22
Software,2015-12-13 01:46:21,3000,0,failed,0
Technology,2011-05-15 02:20:53,20000,169209.18,successful,2685
Gadgets,2015-07-11 23:29:38,10000,4386,failed,28
Apps,2016-11-24 06:39:00,12000,472.11,failed,7
Hardware,2016-05-30 16:06:06,50000,27469.5,failed,184
Apps,2016-06-10 23:35:26,20001,187,failed,3
Technology,2012-07-21 22:29:32,50000,576,failed,18
Gadgets,2016-11-07 19:12:55,20000,102,failed,6
Technology,2016-07-15 18:45:47,250000,201,failed,2
Web,2015-06-20 01:55:18,675,50,failed,2
3D Printing,2015-07-01 18:15:58,8000,9035,successful,39
Apps,2016-05-20 19:41:12,275000,1,failed,1
Software,2014-09-07 06:03:07,20000,0,failed,0
Hardware,2014-09-17 20:39:00,65000,87500,successful,750
Apps,2015-04-13 05:53:49,50000,0,failed,0
Technology,2015-04-01 17:05:19,20000,3298,canceled,36
Gadgets,2015-12-17 18:01:32,15000,18818,successful,141
DIY Electronics,2015-03-21 05:19:41,25000,130,failed,5
Technology,2012-11-15 05:34:33,100000,1314542.25,successful,9236
Flight,2015-05-17 19:32:28,29500,0,failed,0
Apps,2015-05-11 04:01:24,20000,6773,failed,63
Wearables,2014-12-01 01:00:00,7000,715,failed,16
Technology,2015-02-25 19:47:34,7000,27,failed,3
Sound,2015-05-12 11:27:10,27333,51616,successful,415
Robots,2014-10-07 19:00:00,50000,82905,successful,96
Hardware,2014-04-16 05:31:00,35000,2397,canceled,12
Technology,2016-01-14 02:01:04,9000,112,failed,3
Gadgets,2015-06-12 17:56:39,70000,320986.25,successful,1622
Hardware,2014-01-18 01:00:00,5000000,13289,failed,33
Software,2014-09-02 15:53:23,10000,0,failed,0
Web,2015-05-17 01:20:00,60000,0,failed,0
Hardware,2014-06-02 11:59:06,70000,22,failed,3
Hardware,2014-10-27 05:25:18,50000,109988.42,canceled,284
Technology,2013-11-15 03:35:00,15000,15120,successful,98
Web,2014-09-25 20:17:55,1100,0,failed,0
Apps,2014-10-12 23:27:52,10000,0,failed,0
Apps,2015-08-16 18:21:36,5000,25,failed,1
Web,2015-07-19 22:00:15,75000,0,failed,0
Technology,2016-08-20 16:43:23,40000,121,failed,3
Gadgets,2015-08-25 07:00:00,5000,519070.51,successful,4013
Web,2015-03-06 21:47:48,1000,1,failed,1
Apps,2014-12-11 11:49:46,50000,1609,canceled,47
Apps,2014-10-14 01:36:07,5000,0,failed,0
Web,2015-11-07 22:25:44,50000,0,suspended,0
Web,2015-05-14 20:14:07,20000,20,failed,1
Gadgets,2016-06-27 19:32:19,20000,0,canceled,0
Apps,2014-06-26 15:25:42,5000,0,failed,0
3D Printing,2015-08-08 23:20:11,15000,0,failed,0
Web,2015-09-19 17:56:03,3500,800,failed,13
Software,2010-04-01 07:59:00,15000,50,canceled,4
Hardware,2015-09-24 19:17:58,15500,15,canceled,1
Apps,2015-08-20 03:18:46,20000,600,canceled,2
Gadgets,2016-06-27 04:53:24,50000,79286,successful,208
Technology,2014-11-08 22:53:45,5000,385,canceled,8
Gadgets,2016-07-29 15:58:31,75000,28817,canceled,246
Software,2015-10-09 17:19:06,50000,5720,failed,14
Technology,2015-07-01 20:46:21,15000,0,failed,0
Web,2015-11-02 07:40:00,1000,0,failed,0
Gadgets,2016-01-17 22:46:15,250,857,successful,31
Apps,2016-07-28 22:37:22,10000,35,failed,3
Software,2015-02-01 03:40:09,25000,7,failed,3
Apps,2015-05-15 15:45:23,150000,0,failed,0
Software,2011-11-14 06:00:00,100000,105786.99,successful,791
Hardware,2011-12-18 00:18:49,25000,830827.51,successful,1808
Technology,2011-01-14 06:47:49,6000,0,failed,0
Fabrication Tools,2014-12-07 19:30:21,20000,15,failed,1
Software,2014-01-15 07:59:00,6000,930,failed,32
Apps,2016-05-24 03:44:39,15000,4,failed,4
Software,2015-07-16 18:33:41,500,1502,successful,34
Web,2015-09-20 02:37:52,100000,0,failed,0
Apps,2016-02-05 02:28:46,35000,1315,failed,14
Apps,2016-06-18 08:18:28,5000,20,failed,2
Gadgets,2016-05-06 17:42:01,75000,3295,failed,19
Technology,2015-04-22 21:48:12,200000,256,failed,7
Software,2011-03-02 07:42:06,30000,12935,failed,251
Sound,2015-01-08 01:06:14,20000,45931,successful,223
Technology,2014-05-07 05:45:15,30000,3430,failed,63
Hardware,2013-02-24 17:35:32,25000,47053.67,successful,449
Technology,2015-07-04 17:57:06,60000,14126,failed,102
Technology,2013-07-01 05:59:00,20000,21858.81,successful,303
Technology,2013-12-23 20:56:17,40000,196,failed,14
Software,2016-03-02 22:35:33,15000,1,failed,1
Sound,2016-04-21 17:00:00,100000,2708472.39,successful,10263
Software,2016-04-21 16:15:54,30000,1654,canceled,50
Web,2016-09-01 08:59:00,5000,330,failed,6
Apps,2015-03-17 02:10:53,20000,5328,failed,71
Web,2016-09-09 22:44:50,50000,10,failed,1
Software,2016-06-28 22:00:00,50000,62054,successful,203
Hardware,2015-08-11 22:05:23,80000,156,failed,1
Hardware,2014-12-20 04:00:00,25750,3142,failed,127
Hardware,2011-07-21 20:15:00,16000,742,failed,18
Gadgets,2016-08-06 09:45:30,250000,78,canceled,3
Technology,2014-10-17 14:21:37,8000,60,canceled,2
Technology,2013-09-12 20:55:08,60000,20996,failed,468
Sound,2014-12-12 16:59:00,70000,242348,successful,519
Web,2014-08-31 17:18:00,5000,0,failed,0
Hardware,2012-09-19 16:14:59,16000,7800.26,failed,84
3D Printing,2016-02-06 08:59:00,50000,235054,successful,2765
Web,2015-04-22 20:49:03,10000,0,failed,0
Gadgets,2015-10-16 01:56:00,200000,200,failed,1
Gadgets,2016-04-12 00:40:45,5000,15122,successful,362
Technology,2014-08-11 11:30:00,1100,6,failed,6
Gadgets,2015-05-30 17:55:01,186700,0,failed,0
Robots,2015-05-15 18:23:02,245000,4,failed,4
Technology,2015-03-08 00:44:59,5000,561,failed,35
Apps,2014-12-06 19:08:28,150000,1336,failed,29
Hardware,2014-06-15 13:05:00,1000,1082,successful,20
Apps,2016-07-03 13:21:02,28000,13,failed,6
Web,2014-08-18 04:00:00,14371,41,failed,3
Technology,2015-02-23 06:29:26,20000,2625,failed,32
Apps,2015-11-11 07:59:00,25000,530,canceled,22
Apps,2016-10-09 19:28:28,600,1,failed,1
Software,2015-07-30 11:38:14,150000,11249,failed,26
Technology,2012-08-20 21:00:00,200000,21752.22,canceled,169
Hardware,2016-04-27 21:34:05,500,1167,canceled,38
Software,2012-12-14 10:48:14,500,500,undefined,0
Web,2015-09-05 17:16:53,25000,0,failed,0
Apps,2016-08-28 17:06:58,20000,17,failed,5
Hardware,2015-08-19 19:00:00,30000,20714,failed,130
Gadgets,2015-12-18 09:33:55,50000,10037,failed,109
Technology,2013-06-27 07:01:00,15000,16093,successful,211
Software,2012-09-14 12:57:45,30000,332,failed,11
Technology,2014-05-24 18:17:39,10000,0,failed,0
Apps,2014-10-01 12:59:08,30000,150,failed,3
Gadgets,2015-10-06 18:15:01,10000,3325,suspended,73
Apps,2016-05-01 01:01:06,50500,0,failed,0
Software,2015-05-01 01:15:26,30000,10,canceled,1
Apps,2016-08-21 21:01:46,3000,1,failed,1
Hardware,2012-06-19 17:44:34,4000,104268.01,successful,290
Technology,2013-05-23 22:26:05,25000,2717,failed,48
Software,2015-05-25 17:19:58,200000,175,canceled,2
Apps,2016-11-17 03:13:54,80000,0,failed,0
Apps,2015-01-23 18:07:38,10000,256,failed,5
Gadgets,2016-09-03 06:09:00,80000,4330,failed,26
Software,2015-08-13 09:06:05,50000,15033,canceled,28
Hardware,2014-10-03 04:27:22,2000,1,failed,1
Software,2011-02-14 00:14:55,7500,8441.72,successful,349
Technology,2011-09-07 07:30:00,6800,10898,successful,140
Technology,2015-12-19 16:31:37,40000,0,failed,0
Hardware,2013-04-22 05:59:00,25000,11759,failed,39
Apps,2016-10-14 06:01:26,20000,1867,failed,22
Gadgets,2015-07-01 04:20:00,8700,10,failed,1
Gadgets,2015-12-18 04:31:04,17000,160,failed,3
DIY Electronics,2015-04-12 04:39:27,5000,1626,failed,38
Technology,2016-01-03 22:55:39,5000,293,failed,16
Wearables,2015-05-28 14:52:33,20000,0,failed,0
Hardware,2011-08-01 05:59:00,6000,20940,successful,155
Gadgets,2014-08-10 02:18:43,90000,25768,failed,90
Web,2015-07-23 20:29:49,20000,70,failed,2
Camera Equipment,2015-12-06 00:00:07,26800,17765,canceled,107
Apps,2015-07-14 22:48:07,25000,500,failed,1
Technology,2013-10-31 21:29:42,100000,11707,failed,373
Apps,2015-03-08 01:31:09,25000,202,failed,3
Apps,2015-12-16 17:20:32,100000,250,canceled,1
Sound,2014-10-17 18:02:18,65000,82781.01,successful,271
Technology,2016-07-29 14:55:50,30171,50,failed,2
Apps,2015-03-04 22:35:48,15000,1396,failed,23
Apps,2015-05-06 00:00:00,35000,1395,failed,11
Hardware,2013-11-18 05:59:00,60000,69382.2,successful,620
Apps,2015-10-05 04:00:00,3500,310,failed,9
Gadgets,2014-07-22 23:43:32,8600,28678,successful,113
Software,2016-02-21 12:01:00,1000,275,failed,3
Hardware,2014-11-05 22:49:47,20000,3318,failed,80
Technology,2015-03-06 02:01:18,15000,0,canceled,0
Robots,2015-04-07 00:00:00,1500,1656,successful,11
Gadgets,2015-12-15 23:00:24,5000,75489,successful,1902
Space Exploration,2015-03-31 12:14:00,1000,0,failed,0
Hardware,2016-04-01 05:59:00,150000,56365,failed,186
Technology,2016-12-06 03:31:13,12000,2,failed,2
Hardware,2009-11-01 00:02:00,1100,175,failed,7
Software,2011-12-15 13:49:51,25000,2105,failed,61
Technology,2012-04-06 20:09:20,15000,501,failed,2
Apps,2014-08-22 13:41:30,200,10,failed,2
Hardware,2014-04-27 20:11:32,1500,1516,successful,3
Hardware,2015-05-30 06:00:00,75000,20,canceled,2
DIY Electronics,2015-08-19 19:00:00,1700,2850,successful,13
Hardware,2012-10-15 00:09:47,12500,4979,failed,44
Web,2016-09-09 22:03:57,10000,0,canceled,0
Technology,2015-01-02 20:44:28,10000,11468,successful,171
Web,2015-11-12 20:37:23,100000,0,failed,0
Technology,2015-03-01 23:04:13,285000,5,failed,5
Apps,2016-09-23 16:01:35,20000,1403,failed,6
Apps,2016-09-03 01:10:14,40000,62,failed,4
Technology,2015-07-31 21:07:13,30000,25,failed,1
Apps,2015-05-10 04:45:13,500,0,failed,0
Software,2016-07-25 15:08:56,150000,64,failed,2
Gadgets,2016-09-17 02:00:00,250,3256,successful,81
Technology,2015-02-26 05:59:00,10000,125,failed,11
Technology,2014-05-25 17:01:58,70000,108683.52,successful,816
Software,2015-02-05 00:41:59,8000,11,failed,3
Apps,2014-08-12 14:33:02,25000,410,failed,10
3D Printing,2014-03-27 19:00:00,15000,16049,successful,139
Robots,2015-09-03 22:29:33,6000,2389,failed,39
Space Exploration,2016-09-07 02:00:00,30000,9775,failed,124
Apps,2016-05-06 17:45:20,8000,6,failed,2
Gadgets,2015-08-02 14:01:34,35000,5319,failed,116
Hardware,2012-01-22 05:30:00,7500,1792,failed,26
Hardware,2015-06-28 01:28:08,150000,48,failed,5
DIY Electronics,2015-01-29 20:16:40,10000,116,failed,5
Technology,2011-06-08 01:05:59,20000,1011,failed,20
Software,2014-04-24 19:59:40,100000,0,failed,0
Sound,2015-11-30 01:20:00,9500,814,failed,11
Hardware,2013-05-05 13:07:00,60000,28205,failed,369
Web,2015-03-04 06:32:04,20000,28999,successful,494
Robots,2015-07-30 17:59:30,75000,1,failed,1
Technology,2016-02-26 15:31:34,75000,27,failed,6
Technology,2013-07-11 21:03:17,15000,0,failed,0
Hardware,2016-01-25 14:55:04,100000,8317.3,failed,118
Apps,2015-06-03 20:58:17,50000,0,failed,0
Wearables,2014-12-14 23:40:54,50000,3863,failed,101
3D Printing,2015-02-02 23:08:17,1000,2112,successful,24
Hardware,2013-12-08 23:59:00,135000,681461,successful,2254
Gadgets,2016-11-30 06:50:00,20000,5178,canceled,38
Apps,2016-06-01 20:30:20,15000,0,canceled,0
Web,2015-06-22 00:30:05,50000,0,failed,0
Web,2015-03-03 06:33:23,125000,137,failed,6
Web,2014-10-09 21:39:22,5000,0,failed,0
Apps,2014-11-14 15:00:53,12500,0,failed,0
Sound,2014-10-24 20:59:00,16000,50518,successful,433
Technology,2012-04-11 06:59:00,15000,26206,successful,255
Sound,2016-04-10 18:10:04,750,7806,successful,145
Hardware,2011-09-11 05:24:53,5000,5528,successful,27
Technology,2012-06-09 14:09:19,22000,22181.58,successful,862
Hardware,2015-11-17 06:00:00,90000,5625,failed,26
Camera Equipment,2014-08-06 05:44:03,35000,2084,failed,18
Apps,2015-06-27 03:00:00,20000,3132,suspended,66
Apps,2016-08-26 17:58:46,5000,5135,successful,30
Software,2015-01-04 21:01:29,10000,1,failed,1
Technology,2013-12-05 03:00:00,600000,36466,failed,29
Software,2016-10-15 23:23:30,30000,25,failed,1
Sound,2015-07-06 06:13:48,10000,1,failed,1
Web,2015-07-29 18:29:46,1460,0,failed,0
Technology,2014-06-29 04:32:00,95000,12980,canceled,128
Web,2015-02-21 10:44:53,60000,2,failed,2
Web,2015-06-01 23:00:00,4000,4075,successful,24
Flight,2015-11-08 21:00:01,22000,16046,failed,103
Technology,2016-11-24 01:10:41,700000,158,failed,3
Wearables,2016-03-09 13:08:21,28000,0,failed,0
3D Printing,2016-09-22 19:22:38,5000,21,failed,2
Hardware,2016-06-12 06:59:00,50000,150971,successful,1095
Hardware,2014-03-28 01:36:12,50000,2519,failed,34
Apps,2015-01-18 05:59:00,10000,25,failed,1
Web,2015-06-08 00:39:00,40000,2077,canceled,20
Apps,2016-11-19 20:13:08,5250,5253,successful,34
Hardware,2015-05-27 07:56:50,20000,12691,failed,131
Gadgets,2015-12-03 20:35:13,9500,9965,successful,59
Hardware,2011-06-08 14:15:43,5900,26268.76,successful,269
DIY Electronics,2015-08-05 05:44:55,10000,1946,canceled,5
Hardware,2012-12-15 09:00:00,5000,2688,failed,108
Makerspaces,2016-01-17 19:00:44,35000,0,canceled,0
Software,2015-11-22 00:18:47,18000,20,failed,2
Technology,2014-07-02 01:06:00,35000,4141,canceled,60
Wearables,2014-08-08 14:16:11,100000,56153,canceled,108
Hardware,2015-12-04 14:27:32,35000,5509,failed,13
Technology,2011-05-31 16:55:33,50000,1150,failed,9
Sound,2015-07-29 10:20:18,120000,230,suspended,1
Apps,2016-06-16 00:19:47,875000,1,failed,1
Software,2011-06-05 07:31:34,5500,3000.08,failed,111
Technology,2016-05-27 15:32:46,1500000,2,canceled,2
Apps,2015-04-05 22:44:06,800,0,failed,0
Hardware,2013-12-25 03:00:00,10000,153,canceled,4
Technology,2014-04-09 20:25:07,200000,10,canceled,2
Software,2016-09-12 20:23:30,1000000,0,failed,0
Space Exploration,2016-02-02 00:55:41,125000,124,canceled,3
Software,2016-09-26 16:38:42,47796,3612,failed,21
Technology,2015-07-10 17:49:07,15000,0,failed,0
Makerspaces,2014-11-14 20:45:40,50000,0,failed,0
Technology,2014-03-13 14:34:33,10000,16980,successful,102
Gadgets,2016-01-29 03:35:57,500,1371,successful,44
Software,2011-07-03 03:15:34,5200,170,failed,5
Technology,2015-07-05 19:21:00,50000,10,failed,1
Gadgets,2015-05-22 22:07:13,200000,5968,failed,24
Gadgets,2016-08-19 20:56:32,125000,0,failed,0
Technology,2015-12-01 12:51:13,1000,7010,successful,225
Camera Equipment,2015-09-26 12:18:46,28000,2306,failed,16
Technology,2015-06-20 23:42:22,4500,0,failed,0
Hardware,2015-01-30 04:35:37,500000,413,failed,6
Web,2016-04-05 04:02:53,500,10,failed,1
Software,2014-04-10 04:29:40,30000,103,failed,6
3D Printing,2016-05-10 22:04:31,7000,7374,successful,126
Technology,2014-04-06 21:01:22,20000,0,canceled,0
Gadgets,2015-04-26 18:13:30,20000,1,failed,1
3D Printing,2014-04-09 02:21:25,89000,17698,failed,25
Web,2014-08-24 19:33:21,30000,30553.03,successful,290
Hardware,2012-07-17 07:59:00,13000,26711,successful,141
Hardware,2015-03-18 19:43:40,10000,80,failed,3
Gadgets,2015-11-07 21:30:34,100000,622785,successful,9095
Technology,2014-08-28 02:33:05,45000,1,failed,1
Hardware,2013-08-25 04:27:21,15000,2839,failed,22
Apps,2015-01-17 03:45:00,5000,315,failed,9
Apps,2015-10-31 04:54:00,15000,0,failed,0
Wearables,2015-06-01 05:59:00,10000,10215,successful,43
Technology,2014-09-14 04:46:08,5000,25,failed,1
Technology,2016-10-28 17:59:00,5000,37,failed,4
Hardware,2012-06-01 02:15:38,10000,10264,successful,105
Apps,2016-09-10 06:15:19,35000,445,failed,13
DIY Electronics,2014-09-18 21:16:34,2000,0,failed,0
Gadgets,2014-07-10 19:04:22,75000,36947.01,failed,755
Hardware,2012-10-19 22:00:00,15000,2530,canceled,23
Camera Equipment,2015-10-25 20:32:31,10000,3528.25,failed,58
DIY Electronics,2016-01-09 20:07:05,80,0,failed,0
Hardware,2013-03-28 20:08:44,1500,1683,successful,16
Gadgets,2014-08-08 00:18:36,1500,27904.5,successful,256
Hardware,2015-04-24 23:19:50,75000,2000,canceled,1
Technology,2009-12-22 05:59:00,3000,187,failed,6
Apps,2015-03-16 22:08:23,150000,0,failed,0
Hardware,2013-04-12 23:16:07,1500,1575,successful,36
Apps,2016-07-27 01:25:36,10000,0,failed,0
Web,2015-01-06 21:40:38,3000,270,canceled,8
Software,2010-08-05 00:21:00,12000,1746,failed,47
Technology,2016-09-29 18:00:31,80000,145784,successful,325
Sound,2016-08-01 09:00:00,200000,261424,successful,2847
Sound,2014-11-03 18:23:00,10000,555,failed,7
Software,2010-02-15 05:59:00,1500,132,failed,5
Hardware,2016-08-06 01:17:18,60000,733,failed,3
3D Printing,2014-07-16 15:30:26,2500,6506,successful,446
Technology,2011-12-20 20:21:10,50000,617,failed,10
DIY Electronics,2014-07-09 12:30:00,2500,3981,successful,72
Sound,2016-04-21 18:01:08,50000,750374,successful,5834
Gadgets,2016-06-22 15:35:32,50000,2050,failed,59
Apps,2016-04-15 01:48:37,10000,0,failed,0
Hardware,2013-06-02 08:59:00,5000,7444,successful,32
DIY Electronics,2016-04-04 15:30:29,2500,421,failed,8
Technology,2014-08-22 18:20:39,3270,0,canceled,0
Camera Equipment,2015-12-24 09:02:34,450000,4670,canceled,21
Technology,2013-11-15 18:12:17,12500,1335,failed,30
Hardware,2014-12-05 21:00:54,50000,9391,canceled,67
Apps,2015-03-16 20:16:00,150000,1,failed,1
Technology,2013-10-04 09:29:27,3500,31,failed,4
Camera Equipment,2016-08-26 00:30:28,60000,40437,failed,391
Technology,2014-01-31 23:59:00,40000,231788.39,successful,1485
3D Printing,2014-05-07 14:45:46,50000,3401361.08,successful,11855
DIY Electronics,2015-11-10 19:32:35,1500,85,failed,4
Technology,2014-09-16 22:22:36,40000,0,canceled,0
Hardware,2014-05-31 12:32:56,25000,6529,failed,99
Gadgets,2015-06-24 19:57:16,15000,26253,successful,583
Technology,2013-09-08 18:58:06,69000,1229074.03,successful,12840
Apps,2014-10-16 22:59:19,10000,1027,failed,26
Web,2015-03-19 04:00:00,3000,10001,successful,292
Space Exploration,2012-09-13 05:59:00,500,3307,successful,151
Space Exploration,2016-03-05 07:59:00,100000,896,failed,19
Web,2015-02-15 00:00:00,2500,6,failed,2
Web,2016-07-23 18:14:07,4321,5,failed,1
Apps,2015-03-20 20:48:00,3000000,106,failed,3
Technology,2012-08-10 03:21:24,500,3402.01,successful,77
Web,2014-09-20 09:00:00,50000,0,canceled,0
Gadgets,2016-02-08 17:16:59,49200,310,failed,5
Web,2015-01-06 19:21:27,25000,36,failed,4
Technology,2015-12-26 08:11:00,250,0,failed,0
Apps,2016-07-02 19:05:52,15000,0,failed,0
Technology,2013-12-13 22:46:34,75000,60051,suspended,86
Hardware,2013-06-01 01:59:00,25000,4004,failed,64
Technology,2015-11-21 14:58:18,50000,90514,successful,707
Apps,2015-05-27 22:16:19,5000,0,failed,0
Hardware,2012-09-30 01:11:53,200,870,successful,36
Software,2010-06-25 17:09:00,20000,0,failed,0
Software,2013-03-08 00:59:05,5000,40,failed,2
Gadgets,2016-08-04 14:00:57,80000,345529,successful,873
Technology,2016-06-25 00:00:00,250000,60379,canceled,289
Sound,2012-06-29 20:16:23,20000,40892.05,successful,217
Apps,2015-03-30 05:32:28,9900,1656,failed,15
Technology,2016-01-27 23:08:30,500,0,failed,0
3D Printing,2015-08-14 19:00:40,40000,5291,failed,24
Sound,2015-07-15 20:45:42,30000,2143,canceled,16
Technology,2014-09-08 00:51:09,20000,3,failed,1
3D Printing,2015-08-20 17:59:00,50000,23183,failed,827
Hardware,2015-12-01 06:59:00,50000,11990,failed,145
Software,2015-03-14 06:26:20,6000,0,failed,0
Robots,2015-07-08 16:59:55,1500,865,failed,11
Apps,2016-02-01 00:00:00,100000,0,failed,0
Technology,2013-07-10 03:49:28,9000,15,failed,2
Apps,2015-05-30 00:02:37,12500,155,failed,10
Gadgets,2015-06-19 15:34:44,50000,6756,canceled,95
Technology,2015-03-25 16:38:00,2500000,50,failed,2
Technology,2016-06-20 23:27:00,12000,2681,canceled,94
Software,2016-01-10 18:05:12,600,0,failed,0
Apps,2016-06-24 03:31:36,10000,198,failed,6
Technology,2015-03-13 18:30:13,15000,1272,failed,14
Apps,2015-11-23 06:08:59,6000,5063,failed,6
Web,2015-01-25 15:10:11,30000,75,failed,3
Gadgets,2015-05-08 01:58:49,2000,23764,successful,671
Web,2015-12-02 23:13:26,193072,3,failed,3
Hardware,2013-09-15 12:00:17,20000,24594,successful,571
Hardware,2013-03-23 16:12:16,95000,3095.34,canceled,27
Robots,2013-06-01 05:59:00,60000,188786.97,successful,1623
Apps,2014-11-15 22:53:43,7500,0,failed,0
Gadgets,2014-10-27 23:50:26,40000,5936,failed,51
Apps,2016-06-11 17:14:32,50000,4239,failed,13
Apps,2016-07-15 16:44:24,250000,2,failed,2
Web,2016-04-30 17:41:10,2000,23,failed,5
Software,2015-04-23 20:08:07,75000,285,failed,7
Gadgets,2015-11-24 21:03:00,9,81,successful,5
Gadgets,2015-08-06 23:30:12,100000,891,canceled,13
Software,2014-09-14 08:46:56,35000,15,failed,2
Technology,2013-12-05 23:31:20,40000,15204,failed,48
Technology,2011-09-02 01:53:21,6000,1.03,failed,1
Hardware,2015-03-29 01:42:00,2500,150,failed,3
Hardware,2014-09-15 17:50:00,8500,203,canceled,5
Apps,2015-10-01 18:16:10,16000,1681,failed,38
Apps,2016-09-04 21:00:00,3000,166,failed,2
Makerspaces,2016-03-17 18:27:49,7500,5,failed,1
Hardware,2015-01-11 20:45:22,20000,61337,successful,397
Apps,2014-11-27 13:56:27,30000,5109,failed,77
Software,2016-08-30 06:11:57,10000,537,failed,7
Technology,2010-07-14 03:30:00,2500,0,failed,0
Technology,2015-06-03 17:55:47,1000,10,canceled,1
Software,2016-07-16 23:55:53,300000,0,failed,0
Technology,2013-07-21 15:00:27,6000,771,canceled,21
Wearables,2016-02-14 17:20:32,48500,105,failed,4
Technology,2014-09-06 16:10:00,1500,201,failed,2
Web,2015-04-11 00:27:28,86350,1571,canceled,7
3D Printing,2015-04-27 04:00:00,17485,1974,failed,48
Hardware,2014-07-04 01:00:15,90000,129164,successful,469
Hardware,2015-12-30 15:23:54,15000,30274,successful,392
Wearables,2015-04-08 18:39:08,100000,319320,successful,906
Web,2015-12-24 18:13:15,45000,50,canceled,1
Apps,2015-12-16 05:00:00,5000,5265,successful,85
Space Exploration,2015-04-17 22:17:00,50000,326,failed,6
Apps,2014-08-19 22:38:48,15000,5,failed,1
Apps,2016-07-07 04:04:56,16000,400,failed,3
Technology,2012-10-22 00:32:49,125000,172529.13,successful,1981
Software,2015-08-16 05:59:00,65000,535,canceled,23
Software,2015-07-04 21:24:02,20000,55,canceled,2
Technology,2013-10-08 19:02:56,10000,303,failed,11
Apps,2015-08-13 19:06:35,5000,20,failed,2
Flight,2015-08-30 19:38:27,150000,352,failed,7
Gadgets,2015-04-13 01:14:00,10000,250,failed,3
Software,2013-04-29 03:09:55,600,776.55,successful,35
Software,2014-11-18 17:51:49,24500,40,failed,2
Apps,2014-08-01 01:10:49,6500,0,canceled,0
Apps,2014-07-13 22:00:00,10000,212,failed,22
Technology,2013-09-28 20:54:04,25000,341,failed,6
Sound,2016-11-10 15:58:44,50000,190501,successful,1186
Apps,2014-11-21 15:49:38,4000,10,failed,2
Technology,2013-09-09 02:19:59,10000,380,failed,9
Hardware,2013-09-06 02:01:00,10000,1863,failed,34
Technology,2012-02-01 04:04:00,25000,0,canceled,0
Hardware,2013-07-16 05:59:00,20000,310,canceled,5
Technology,2014-02-17 14:36:24,50000,18412,failed,276
Web,2016-06-01 01:25:00,30000,0,failed,0
Hardware,2015-09-11 16:40:03,500000,0,failed,0
Technology,2012-09-13 02:38:43,10000,88018.62,successful,706
Apps,2014-08-25 02:33:29,5000,1,canceled,1
Robots,2016-03-13 23:06:25,15000,6527.01,failed,99
Hardware,2016-07-01 10:23:22,38800,20183,canceled,124
Wearables,2015-12-15 21:12:55,130,140,successful,3
Web,2016-07-23 21:24:32,15000,0,failed,0
Technology,2014-07-02 05:03:10,30000,554,canceled,9
Technology,2013-06-29 02:53:53,1000,1553,successful,28
Flight,2015-06-24 03:20:11,50000,1300,failed,4
Technology,2016-04-20 00:55:39,100,33,failed,5
